"","Date","State","kMWh"
"1",2011-01-01,"AZ",NA
"2",2011-01-01,"CA",NA
"3",2011-01-01,"CO",NA
"4",2011-01-01,"DE",NA
"5",2011-01-01,"FL",NA
"6",2011-01-01,"HI",NA
"7",2011-01-01,"IL",NA
"8",2011-01-01,"MA",NA
"9",2011-01-01,"MD",NA
"10",2011-01-01,"NC",NA
"11",2011-01-01,"NJ",NA
"12",2011-01-01,"NM",NA
"13",2011-01-01,"NV",NA
"14",2011-01-01,"NY",NA
"15",2011-01-01,"OH",NA
"16",2011-01-01,"OR",NA
"17",2011-01-01,"PA",NA
"18",2011-01-01,"TX",NA
"19",2011-01-01,"VT",NA
"20",2011-01-01,"WA",NA
"21",2011-01-01,"GA",NA
"22",2011-01-01,"IN",NA
"23",2011-01-01,"MN",NA
"24",2011-01-01,"TN",NA
"25",2011-01-01,"UT",NA
"26",2011-01-01,"CT",NA
"27",2011-01-01,"RI",NA
"28",2011-01-01,"SC",NA
"29",2011-01-01,"MO",NA
"30",2011-01-01,"WI",NA
"31",2011-01-01,"AR",NA
"32",2011-01-01,"KS",NA
"33",2011-01-01,"MI",NA
"34",2011-01-01,"OK",NA
"35",2011-01-01,"AL",NA
"36",2011-01-01,"IA",NA
"37",2011-01-01,"ID",NA
"38",2011-01-01,"KY",NA
"39",2011-01-01,"MS",NA
"40",2011-01-01,"NE",NA
"41",2011-01-01,"SD",NA
"42",2011-01-01,"VA",NA
"43",2011-01-01,"LA",NA
"44",2011-01-01,"ME",NA
"45",2011-01-01,"MT",NA
"46",2011-01-01,"WY",NA
"47",2011-02-01,"AZ",NA
"48",2011-02-01,"CA",NA
"49",2011-02-01,"CO",NA
"50",2011-02-01,"DE",NA
"51",2011-02-01,"FL",NA
"52",2011-02-01,"HI",NA
"53",2011-02-01,"IL",NA
"54",2011-02-01,"MA",NA
"55",2011-02-01,"MD",NA
"56",2011-02-01,"NC",NA
"57",2011-02-01,"NJ",NA
"58",2011-02-01,"NM",NA
"59",2011-02-01,"NV",NA
"60",2011-02-01,"NY",NA
"61",2011-02-01,"OH",NA
"62",2011-02-01,"OR",NA
"63",2011-02-01,"PA",NA
"64",2011-02-01,"TX",NA
"65",2011-02-01,"VT",NA
"66",2011-02-01,"WA",NA
"67",2011-02-01,"GA",NA
"68",2011-02-01,"IN",NA
"69",2011-02-01,"MN",NA
"70",2011-02-01,"TN",NA
"71",2011-02-01,"UT",NA
"72",2011-02-01,"CT",NA
"73",2011-02-01,"RI",NA
"74",2011-02-01,"SC",NA
"75",2011-02-01,"MO",NA
"76",2011-02-01,"WI",NA
"77",2011-02-01,"AR",NA
"78",2011-02-01,"KS",NA
"79",2011-02-01,"MI",NA
"80",2011-02-01,"OK",NA
"81",2011-02-01,"AL",NA
"82",2011-02-01,"IA",NA
"83",2011-02-01,"ID",NA
"84",2011-02-01,"KY",NA
"85",2011-02-01,"MS",NA
"86",2011-02-01,"NE",NA
"87",2011-02-01,"SD",NA
"88",2011-02-01,"VA",NA
"89",2011-02-01,"LA",NA
"90",2011-02-01,"ME",NA
"91",2011-02-01,"MT",NA
"92",2011-02-01,"WY",NA
"93",2011-03-01,"AZ",NA
"94",2011-03-01,"CA",NA
"95",2011-03-01,"CO",NA
"96",2011-03-01,"DE",NA
"97",2011-03-01,"FL",NA
"98",2011-03-01,"HI",NA
"99",2011-03-01,"IL",NA
"100",2011-03-01,"MA",NA
"101",2011-03-01,"MD",NA
"102",2011-03-01,"NC",NA
"103",2011-03-01,"NJ",NA
"104",2011-03-01,"NM",NA
"105",2011-03-01,"NV",NA
"106",2011-03-01,"NY",NA
"107",2011-03-01,"OH",NA
"108",2011-03-01,"OR",NA
"109",2011-03-01,"PA",NA
"110",2011-03-01,"TX",NA
"111",2011-03-01,"VT",NA
"112",2011-03-01,"WA",NA
"113",2011-03-01,"GA",NA
"114",2011-03-01,"IN",NA
"115",2011-03-01,"MN",NA
"116",2011-03-01,"TN",NA
"117",2011-03-01,"UT",NA
"118",2011-03-01,"CT",NA
"119",2011-03-01,"RI",NA
"120",2011-03-01,"SC",NA
"121",2011-03-01,"MO",NA
"122",2011-03-01,"WI",NA
"123",2011-03-01,"AR",NA
"124",2011-03-01,"KS",NA
"125",2011-03-01,"MI",NA
"126",2011-03-01,"OK",NA
"127",2011-03-01,"AL",NA
"128",2011-03-01,"IA",NA
"129",2011-03-01,"ID",NA
"130",2011-03-01,"KY",NA
"131",2011-03-01,"MS",NA
"132",2011-03-01,"NE",NA
"133",2011-03-01,"SD",NA
"134",2011-03-01,"VA",NA
"135",2011-03-01,"LA",NA
"136",2011-03-01,"ME",NA
"137",2011-03-01,"MT",NA
"138",2011-03-01,"WY",NA
"139",2011-04-01,"AZ",NA
"140",2011-04-01,"CA",NA
"141",2011-04-01,"CO",NA
"142",2011-04-01,"DE",NA
"143",2011-04-01,"FL",NA
"144",2011-04-01,"HI",NA
"145",2011-04-01,"IL",NA
"146",2011-04-01,"MA",NA
"147",2011-04-01,"MD",NA
"148",2011-04-01,"NC",NA
"149",2011-04-01,"NJ",NA
"150",2011-04-01,"NM",NA
"151",2011-04-01,"NV",NA
"152",2011-04-01,"NY",NA
"153",2011-04-01,"OH",NA
"154",2011-04-01,"OR",NA
"155",2011-04-01,"PA",NA
"156",2011-04-01,"TX",NA
"157",2011-04-01,"VT",NA
"158",2011-04-01,"WA",NA
"159",2011-04-01,"GA",NA
"160",2011-04-01,"IN",NA
"161",2011-04-01,"MN",NA
"162",2011-04-01,"TN",NA
"163",2011-04-01,"UT",NA
"164",2011-04-01,"CT",NA
"165",2011-04-01,"RI",NA
"166",2011-04-01,"SC",NA
"167",2011-04-01,"MO",NA
"168",2011-04-01,"WI",NA
"169",2011-04-01,"AR",NA
"170",2011-04-01,"KS",NA
"171",2011-04-01,"MI",NA
"172",2011-04-01,"OK",NA
"173",2011-04-01,"AL",NA
"174",2011-04-01,"IA",NA
"175",2011-04-01,"ID",NA
"176",2011-04-01,"KY",NA
"177",2011-04-01,"MS",NA
"178",2011-04-01,"NE",NA
"179",2011-04-01,"SD",NA
"180",2011-04-01,"VA",NA
"181",2011-04-01,"LA",NA
"182",2011-04-01,"ME",NA
"183",2011-04-01,"MT",NA
"184",2011-04-01,"WY",NA
"185",2011-05-01,"AZ",NA
"186",2011-05-01,"CA",NA
"187",2011-05-01,"CO",NA
"188",2011-05-01,"DE",NA
"189",2011-05-01,"FL",NA
"190",2011-05-01,"HI",NA
"191",2011-05-01,"IL",NA
"192",2011-05-01,"MA",NA
"193",2011-05-01,"MD",NA
"194",2011-05-01,"NC",NA
"195",2011-05-01,"NJ",NA
"196",2011-05-01,"NM",NA
"197",2011-05-01,"NV",NA
"198",2011-05-01,"NY",NA
"199",2011-05-01,"OH",NA
"200",2011-05-01,"OR",NA
"201",2011-05-01,"PA",NA
"202",2011-05-01,"TX",NA
"203",2011-05-01,"VT",NA
"204",2011-05-01,"WA",NA
"205",2011-05-01,"GA",NA
"206",2011-05-01,"IN",NA
"207",2011-05-01,"MN",NA
"208",2011-05-01,"TN",NA
"209",2011-05-01,"UT",NA
"210",2011-05-01,"CT",NA
"211",2011-05-01,"RI",NA
"212",2011-05-01,"SC",NA
"213",2011-05-01,"MO",NA
"214",2011-05-01,"WI",NA
"215",2011-05-01,"AR",NA
"216",2011-05-01,"KS",NA
"217",2011-05-01,"MI",NA
"218",2011-05-01,"OK",NA
"219",2011-05-01,"AL",NA
"220",2011-05-01,"IA",NA
"221",2011-05-01,"ID",NA
"222",2011-05-01,"KY",NA
"223",2011-05-01,"MS",NA
"224",2011-05-01,"NE",NA
"225",2011-05-01,"SD",NA
"226",2011-05-01,"VA",NA
"227",2011-05-01,"LA",NA
"228",2011-05-01,"ME",NA
"229",2011-05-01,"MT",NA
"230",2011-05-01,"WY",NA
"231",2011-06-01,"AZ",NA
"232",2011-06-01,"CA",NA
"233",2011-06-01,"CO",NA
"234",2011-06-01,"DE",NA
"235",2011-06-01,"FL",NA
"236",2011-06-01,"HI",NA
"237",2011-06-01,"IL",NA
"238",2011-06-01,"MA",NA
"239",2011-06-01,"MD",NA
"240",2011-06-01,"NC",NA
"241",2011-06-01,"NJ",NA
"242",2011-06-01,"NM",NA
"243",2011-06-01,"NV",NA
"244",2011-06-01,"NY",NA
"245",2011-06-01,"OH",NA
"246",2011-06-01,"OR",NA
"247",2011-06-01,"PA",NA
"248",2011-06-01,"TX",NA
"249",2011-06-01,"VT",NA
