"","Utility ID.x","Utility Name.x","Plant Code","Plant Name.x","State.x","County.x","Generator ID","Status","Technology","Prime Mover","Sector Name.x","Sector.x","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Number of Turbines","Predominant Turbine Manufacturer","Predominant Turbine Model Number","Design Wind Speed (mph)","Wind Quality Class","Turbine Hub Height (Feet)","Utility ID.y","Utility Name.y","Plant Name.y","Street Address","City","State.y","Zip","County.y","Latitude","Longitude","NERC Region","Balancing Authority Code","Balancing Authority Name","Name of Water Source","Primary Purpose (NAICS Code)","Regulatory Status","Sector.y","Sector Name.y","FERC Cogeneration Status","FERC Cogeneration Docket Number","FERC Small Power Producer Status","FERC Small Power Producer Docket Number","FERC Exempt Wholesale Generator Status","FERC Exempt Wholesale Generator Docket Number","Ash Impoundment?","Ash Impoundment Lined?","Ash Impoundment Status","Transmission or Distribution System Owner","Transmission or Distribution System Owner ID","Transmission or Distribution System Owner State","Grid Voltage (kV)","Grid Voltage 2 (kV)","Grid Voltage 3 (kV)","Energy Storage","Natural Gas LDC Name","Natural Gas Pipeline Name 1","Natural Gas Pipeline Name 2","Natural Gas Pipeline Name 3","Pipeline Notes","Natural Gas Storage","Liquefied Natural Gas Storage"
"1",63560,"TDX Sand Point Generating, LLC",1,"Sand Point","AK","Aleutians East","WT1","OA","Onshore Wind Turbine","WT","IPP Non-CHP",2,0.5,0.1,0.1,10,2011,1,"Vestas","V39-500",19,2,155,63560,"TDX Sand Point Generating, LLC","Sand Point","100 Power Plant Way","Sand Point","AK",99661,"Aleutians East",55.339722,-160.497222,NA,NA,NA,NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"TDX Sand Point Generating, LLC",63560,"AK",0.48,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"2",63560,"TDX Sand Point Generating, LLC",1,"Sand Point","AK","Aleutians East","WT2","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,0.5,0.3,0.3,10,2011,1,"Vestas","V39-500",19,2,155,63560,"TDX Sand Point Generating, LLC","Sand Point","100 Power Plant Way","Sand Point","AK",99661,"Aleutians East",55.339722,-160.497222,NA,NA,NA,NA,22,"NR",2,"IPP Non-CHP","N",NA,"N",NA,"N",NA,"N","X",NA,"TDX Sand Point Generating, LLC",63560,"AK",0.48,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"3",13642,"Nome Joint Utility Systems",90,"Snake River","AK","Nome","ENT","OP","Onshore Wind Turbine","WT","Electric Utility",1,0.8,0.8,0.8,1,2015,15,"Entegrity Wind Systems","EW50",20,2,102,13642,"Nome Joint Utility Systems","Snake River","1226 Port Road","Nome","AK",99762,"Nome",64.505331,-165.429814,"ASCC",NA,NA,"Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Nome Joint Utility Systems",13642,"AK",4,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"4",13642,"Nome Joint Utility Systems",90,"Snake River","AK","Nome","EWT 1","OP","Onshore Wind Turbine","WT","Electric Utility",1,0.9,0.9,0.9,7,2013,1,"EWT","DW54-900",20,2,164,13642,"Nome Joint Utility Systems","Snake River","1226 Port Road","Nome","AK",99762,"Nome",64.505331,-165.429814,"ASCC",NA,NA,"Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Nome Joint Utility Systems",13642,"AK",4,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"5",13642,"Nome Joint Utility Systems",90,"Snake River","AK","Nome","EWT 2","OP","Onshore Wind Turbine","WT","Electric Utility",1,0.9,0.9,0.9,7,2013,1,"EWT","DW54-900",20,2,164,13642,"Nome Joint Utility Systems","Snake River","1226 Port Road","Nome","AK",99762,"Nome",64.505331,-165.429814,"ASCC",NA,NA,"Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"Nome Joint Utility Systems",13642,"AK",4,NA,NA,"N",NA,NA,NA,NA,NA,"X","X"
"6",10633,"City of Lamar - (CO)",508,"Lamar Plant","CO","Prowers","T1-T3","OP","Onshore Wind Turbine","WT","Electric Utility",1,4.5,4,4,2,2004,3,"GE","1.5 XLE",19,2,262.4,10633,"City of Lamar - (CO)","Lamar Plant","100 North Second Street","Lamar","CO",81052,"Prowers",38.033327,-102.537915,"WECC","PSCO","Public Service Company of Colorado","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"City of Lamar - (CO)",10633,"CO",69,NA,NA,"N",NA,"COLORADO INTERSTATE GAS COMPANY LLC",NA,NA,NA,"N","X"
"7",10633,"City of Lamar - (CO)",508,"Lamar Plant","CO","Prowers","T4","OP","Onshore Wind Turbine","WT","Electric Utility",1,1.5,1.5,1.5,2,2004,1,"GE","1.5 XLE",19,2,262.4,10633,"City of Lamar - (CO)","Lamar Plant","100 North Second Street","Lamar","CO",81052,"Prowers",38.033327,-102.537915,"WECC","PSCO","Public Service Company of Colorado","Wells",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"City of Lamar - (CO)",10633,"CO",69,NA,NA,"N",NA,"COLORADO INTERSTATE GAS COMPANY LLC",NA,NA,NA,"N","X"
"8",62042,"SRIV Partnership LLC",692,"Medicine Bow","WY","Carbon","10","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,4.9,4.9,4.9,7,2000,7,"Vestas","V47-660",18.8,2,164,62042,"SRIV Partnership LLC","Medicine Bow","475 Carbon Co. Rd. 3","Medicine Bow","WY",82329,"Carbon",41.835278,-106.242778,"WECC","WAUW","Western Area Power Administration UGP West",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","14-162-000","N",NA,"N","X",NA,"WAPA-- Western Area Power Administration",27000,"WY",245,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"9",62042,"SRIV Partnership LLC",692,"Medicine Bow","WY","Carbon","11","OP","Onshore Wind Turbine","WT","IPP Non-CHP",2,1.3,1.3,1.3,7,2000,2,"Vestas","V42-600",18.8,2,164,62042,"SRIV Partnership LLC","Medicine Bow","475 Carbon Co. Rd. 3","Medicine Bow","WY",82329,"Carbon",41.835278,-106.242778,"WECC","WAUW","Western Area Power Administration UGP West",NA,22,"NR",2,"IPP Non-CHP","N",NA,"Y","14-162-000","N",NA,"N","X",NA,"WAPA-- Western Area Power Administration",27000,"WY",245,NA,NA,"N",NA,NA,NA,NA,NA,"N","X"
"10",7095,"City of Geneseo - (IL)",944,"Geneseo","IL","Henry","10","OP","Onshore Wind Turbine","WT","Electric Utility",1,1.5,1.5,1.5,9,2009,1,"VENSYS","VENSYS77",18,2,200,7095,"City of Geneseo - (IL)","Geneseo","433 East North Street","Geneseo","IL",61254,"Henry",41.451494,-90.148547,"MRO","MISO","Midcontinent Independent Transmission System Operator, Inc..","Municipality",22,"RE",1,"Electric Utility","N",NA,"N",NA,"N",NA,"N","X",NA,"City of Geneseo - (IL)",7095,"IL",69,NA,NA,"N","NICOR GAS",NA,NA,NA,NA,"X","X"
